,Date,Station,Air Temperature(Celcius),Relative Humidity,WindSpeed  (knots),Max Wind Speed,MAX,MIN,Precipitation
349,2017-12-16,948702,18,53.7,9.0,13.0,   74.5*,54.5, 0.00I
350,2017-12-17,948702,21,58.7,7.8,13.0,   81.3*,56.1, 0.00I
351,2017-12-18,948702,25,60.9,6.3,8.9,   86.2*,60.3, 0.00I
352,2017-12-19,948702,21,57.4,10.7,22.9,   98.1*,  60.1*, 0.67G
353,2017-12-20,948702,17,51.2,9.9,18.1,   73.8*,  57.6*, 0.00G
354,2017-12-21,948702,17,52.5,5.7,11.1,   72.0*,  55.4*, 0.00I
355,2017-12-22,948702,19,55.8,6.0,11.1,   77.0*,55.2, 0.00I
356,2017-12-23,948702,19,53.9,8.3,14.0,   78.1*,57.2, 0.00I
357,2017-12-24,948702,16,47.0,12.0,16.9,   65.7*,  59.0*, 0.00I
358,2017-12-25,948702,17,50.4,10.8,16.9,   70.7*,  52.9*, 0.00I
359,2017-12-26,948702,22,55.5,10.3,19.0,   83.7*,51.6, 0.00I
360,2017-12-27,948702,28,58.3,9.3,15.9,   93.6*,59.4, 0.00I
361,2017-12-28,948702,21,61.1,6.6,11.1,   90.0*,  64.8*, 0.00I
362,2017-12-29,948702,19,59.7,7.4,14.0,   75.0*,  60.6*, 0.63G
363,2017-12-30,948702,16,51.5,8.7,15.0,   67.8*,  55.8*, 0.02G
364,2017-12-31,948702,18,53.6,7.9,15.9,   73.2*,54.7, 0.00G
365,2018-01-01,948702,19,52.9,8.1,15.0,   75.4*,59.9, 0.00I
