,Station,Date,Air Temperature(Celcius),Relative Humidity,WindSpeed  (knots),Max Wind Speed,MAX,MIN,Precipitation
78,948701,2017-03-20,23,63.8,7.1,15.9,   81.7*,64.2, 0.08G
79,948701,2017-03-21,20,67.4,8.5,14.0,   76.1*,  64.4*, 0.63G
80,948701,2017-03-22,18,57.5,16.1,21.0,   69.6*,  60.8*, 0.00G
81,948701,2017-03-23,18,55.6,12.8,19.0,   75.9*,  55.6*, 0.00I
82,948701,2017-03-24,20,58.4,6.1,11.1,   76.5*,54.7, 0.00I
83,948701,2017-03-25,23,61.9,8.0,15.9,   85.5*,61.7, 0.00I
84,948701,2017-03-26,23,60.6,10.1,26.0,   84.4*,  64.2*, 0.00I
85,948701,2017-03-27,17,53.4,9.4,25.1,   91.8*,  53.6*, 0.16G
86,948701,2017-03-28,18,50.6,6.0,13.0,   73.2*,51.8, 0.00G
87,948701,2017-03-29,17,49.9,12.2,21.0,   80.1*,  51.8*, 0.24G
88,948701,2017-03-30,13,47.0,7.9,15.0,   61.9*,  48.6*, 0.02G
89,948701,2017-03-31,14,45.8,6.5,9.9,   63.0*,47.5, 0.00G
90,948701,2017-04-01,14,45.7,9.2,15.9,   63.9*,50.4, 0.00I
91,948701,2017-04-02,12,43.4,9.3,15.0,   63.3*,  45.0*, 0.00I
92,948701,2017-04-03,15,47.7,5.9,13.0,   71.1*,43, 0.00I
93,948701,2017-04-04,16,47.5,5.4,12.0,   73.4*,46.8, 0.00I
94,948701,2017-04-05,17,47.2,4.9,13.0,   76.8*,47.1, 0.00I
95,948701,2017-04-06,19,44.2,7.8,15.9,   77.4*,49.5, 0.00I
96,948701,2017-04-07,21,47.0,13.2,20.0,   78.3*,56.7, 0.00I
97,948701,2017-04-08,19,52.8,12.5,21.0,   81.9*,  54.3*, 0.47G
98,948701,2017-04-09,11,48.2,10.8,22.9,   59.7*,  46.8*, 0.59G
99,948701,2017-04-10,14,50.4,12.8,20.0,   62.4*,46.8, 0.01G
100,948701,2017-04-11,14,52.5,7.0,13.0,   65.1*,  52.2*, 0.00G
101,948701,2017-04-12,14,52.4,6.7,11.1,   66.9*,  49.5*, 0.00I
102,948701,2017-04-13,16,54.9,5.9,9.9,   69.1*,48.2, 0.00I
103,948701,2017-04-14,13,48.5,5.3,11.1,   64.4*,  51.3*, 0.08G
104,948701,2017-04-15,12,44.0,4.7,7.0,   61.0*,  48.6*, 0.00G
105,948701,2017-04-16,15,49.3,3.6,7.0,   68.9*,48, 0.00I
106,948701,2017-04-17,13,51.4,4.6,8.9,   65.1*,  48.4*, 0.00I
107,948701,2017-04-18,15,56.1,5.1,9.9,   69.8*,46.8, 0.00I
108,948701,2017-04-19,22,52.8,9.1,15.0,   80.8*,51.8, 0.00I
109,948701,2017-04-20,20,53.5,7.2,15.9,   78.1*,  61.2*, 0.31G
110,948701,2017-04-21,17,58.1,11.7,19.0,   69.1*,59.4, 0.04G
111,948701,2017-04-22,18,58.9,5.5,14.0,   72.9*,  58.1*, 0.08G
112,948701,2017-04-23,17,59.3,4.2,7.0,   70.2*,56.7, 0.01G
113,948701,2017-04-24,19,60.5,7.0,11.1,   74.3*,57.6, 0.83G
114,948701,2017-04-25,14,52.8,9.3,18.1,   62.6*,  51.8*, 0.98G
115,948701,2017-04-26,11,40.8,12.2,20.0,   57.9*,50, 0.24G
116,948701,2017-04-27,12,48.2,7.3,11.1,   58.8*,47.7, 0.03G
117,948701,2017-04-28,16,54.8,8.3,9.9,   64.8*,51.6, 0.00G
118,948701,2017-04-29,15,51.9,6.6,12.0,   63.5*,  56.7*, 0.01G
119,948701,2017-04-30,15,45.6,10.2,15.0,   63.3*,56.7, 0.00G
120,948701,2017-05-01,14,49.2,10.5,20.0,   67.5*,  51.3*, 0.12G
121,948701,2017-05-02,10,42.6,8.9,15.0,   59.4*,  44.8*, 0.04G
122,948701,2017-05-03,10,43.1,4.7,8.0,   58.1*,  41.4*, 0.00G
123,948701,2017-05-04,10,43.3,2.6,7.0,   59.7*,39.4, 0.00I
124,948701,2017-05-05,14,47.4,7.1,14.0,   67.8*,39.9, 0.00I
125,948701,2017-05-06,12,45.1,11.9,18.1,   65.3*,47.1, 0.16G
126,948701,2017-05-07,12,45.0,10.5,16.9,   57.9*,49.5, 0.16G
127,948701,2017-05-08,12,49.9,6.1,13.0,   60.6*,49.5, 0.02G
128,948701,2017-05-09,12,49.0,4.6,8.9,   59.4*,  46.2*, 0.00G
129,948701,2017-05-10,10,45.7,3.7,8.0,   59.7*,  42.8*, 0.01G
130,948701,2017-05-11,9,45.3,2.5,6.0,   59.4*,41.4, 0.00G
131,948701,2017-05-12,14,47.9,5.3,9.9,   65.7*,39, 0.00I
132,948701,2017-05-13,9,44.0,2.8,8.0,   58.5*,  41.4*, 0.00I
133,948701,2017-05-14,10,46.8,5.3,9.9,   60.8*,41.4, 0.00I
134,948701,2017-05-15,10,47.0,5.2,8.9,   58.8*,41.2, 0.00I
135,948701,2017-05-16,12,48.8,4.2,7.0,   60.6*,38.7, 0.00I
136,948701,2017-05-17,13,49.4,3.8,9.9,   64.6*,46.8, 0.01G
137,948701,2017-05-18,14,49.9,6.8,15.9,   68.7*,47.7, 0.00G
138,948701,2017-05-19,12,51.6,3.4,11.1,   62.8*,  46.2*, 0.05G
139,948701,2017-05-20,14,50.1,8.7,15.0,   66.6*,44.2, 0.00G
140,948701,2017-05-21,14,51.0,9.9,15.0,   65.3*,48.6, 0.00I
141,948701,2017-05-22,17,48.7,10.5,15.0,   68.4*,50.9, 0.00I
142,948701,2017-05-23,15,49.9,7.9,13.0,   66.6*,  54.9*, 0.01G
143,948701,2017-05-24,14,48.4,7.5,13.0,   60.3*,53.1, 0.00G
144,948701,2017-05-25,14,50.7,8.6,13.0,   62.8*,  54.3*, 0.12G
145,948701,2017-05-26,13,48.5,7.1,15.9,   59.9*,  50.2*, 0.00G
146,948701,2017-05-27,14,48.1,13.7,19.0,   63.7*,47.3, 0.35G
147,948701,2017-05-28,9,41.2,10.0,13.0,   56.7*,  45.7*, 0.02G
148,948701,2017-05-29,12,42.8,12.1,19.0,   57.4*,45.3, 0.04G
149,948701,2017-05-30,8,41.6,8.3,15.9,   54.5*,  42.1*, 0.24G
150,948701,2017-05-31,11,43.8,6.5,12.0,   54.5*,39.4, 0.02G
151,948701,2017-06-01,11,43.2,5.5,8.0,   55.6*,45, 0.00G
152,948701,2017-06-02,12,47.0,4.8,8.9,   57.6*,48.4, 0.00I
153,948701,2017-06-03,8,43.3,3.9,8.0,   55.8*,  38.7*, 0.00I
154,948701,2017-06-04,9,43.2,4.9,8.0,   56.1*,37.8, 0.00I
155,948701,2017-06-05,12,47.6,9.1,13.0,   61.2*,43.2, 0.12G
156,948701,2017-06-06,9,40.8,6.7,15.0,   56.3*,  39.6*, 0.01G
157,948701,2017-06-07,8,40.7,5.3,12.0,   56.5*,38.5, 0.00G
158,948701,2017-06-08,10,46.3,4.6,8.0,   57.4*,37.2, 0.08G
159,948701,2017-06-09,10,47.1,4.6,8.9,   57.6*,45.3, 0.00G
160,948701,2017-06-10,8,44.5,4.7,7.0,   54.9*,  40.1*, 0.01G
161,948701,2017-06-11,10,44.9,5.5,8.9,   57.2*,39.6, 0.00G
162,948701,2017-06-12,12,49.4,4.4,8.9,   60.1*,47.7, 0.00I
163,948701,2017-06-13,8,43.1,3.4,7.0,   55.6*,  39.6*, 0.00I
164,948701,2017-06-14,11,46.4,6.5,8.9,   61.2*,37.2, 0.00I
165,948701,2017-06-15,11,45.4,5.2,8.9,   63.3*,  43.7*, 0.00A
166,948701,2017-06-16,8,42.6,2.0,6.0,   60.1*,  37.8*, 0.00I
167,948701,2017-06-17,10,45.6,4.5,7.0,   58.5*,36.3, 0.00I
168,948701,2017-06-18,10,47.9,4.1,7.0,   58.5*,43.9, 0.00I
169,948701,2017-06-19,11,45.1,5.6,9.9,   58.5*,  44.1*, 0.00I
170,948701,2017-06-20,11,45.3,10.6,16.9,   59.4*,42.8, 0.08G
171,948701,2017-06-21,10,45.9,3.2,7.0,   55.4*,  46.4*, 0.00G
172,948701,2017-06-22,10,41.4,9.4,14.0,   56.5*,44.8, 0.00I
173,948701,2017-06-23,11,43.9,11.2,16.9,   57.2*,45, 0.12G
174,948701,2017-06-24,10,37.9,8.5,14.0,   53.1*,47.3, 0.02G
175,948701,2017-06-25,11,44.2,8.7,15.9,   55.8*,47.5, 0.04G
176,948701,2017-06-26,10,45.7,3.6,7.0,   54.0*,  45.5*, 0.01G
177,948701,2017-06-27,9,41.0,8.2,9.9,   52.7*,40.8, 0.00G
178,948701,2017-06-28,10,43.7,7.2,11.1,   56.7*,  47.1*, 0.00I
179,948701,2017-06-29,10,42.1,9.4,15.0,   54.9*,46.2, 0.13B
180,948701,2017-06-30,5,34.9,4.3,11.1,   53.6*,  32.9*, 0.00A
181,948701,2017-07-01,5,33.1,5.8,14.0,   54.7*,  28.6*, 0.00I
182,948701,2017-07-02,6,30.8,5.7,11.1,   57.2*,28.4, 0.00I
183,948701,2017-07-03,11,45.1,11.5,18.1,   56.7*,31.1, 0.20G
184,948701,2017-07-04,12,47.2,8.8,15.0,   60.3*,48.6, 0.00G
185,948701,2017-07-05,9,42.4,7.2,9.9,   56.7*,  41.2*, 0.00I
186,948701,2017-07-06,9,40.1,7.5,11.1,   57.6*,40.1, 0.00I
187,948701,2017-07-07,9,41.2,9.8,15.9,   56.7*,  42.8*, 0.00I
188,948701,2017-07-08,9,42.8,9.3,13.0,   54.5*,41.7, 0.08G
189,948701,2017-07-09,10,39.4,9.6,14.0,   55.2*,43, 0.00G
190,948701,2017-07-10,10,44.4,5.6,11.1,   57.9*,43.2, 0.12G
191,948701,2017-07-11,6,39.0,1.8,5.1,   55.6*,  34.9*, 0.01G
192,948701,2017-07-12,9,39.0,5.6,8.9,   58.5*,33.1, 0.00G
193,948701,2017-07-13,12,40.7,16.7,21.0,   58.1*,39, 0.12G
194,948701,2017-07-14,9,40.0,8.6,15.0,   58.1*,  40.8*, 0.00G
195,948701,2017-07-15,6,37.1,5.8,9.9,   53.4*,  36.9*, 0.00I
196,948701,2017-07-16,10,35.6,14.5,20.0,   53.4*,36.9, 0.00I
197,948701,2017-07-17,12,41.8,14.7,21.0,   59.4*,46.6, 0.00I
198,948701,2017-07-18,10,44.8,8.8,14.0,   54.3*,  48.0*, 0.39G
199,948701,2017-07-19,10,43.5,12.0,16.9,   54.9*,  47.1*, 0.04G
200,948701,2017-07-20,7,40.5,8.1,15.0,   52.2*,  39.4*, 0.12G
201,948701,2017-07-21,8,39.3,7.7,14.0,   55.4*,37.8, 0.00G
202,948701,2017-07-22,11,35.3,18.2,25.1,   54.5*,41.7, 0.00I
203,948701,2017-07-23,10,44.7,8.0,15.9,   56.5*,  45.3*, 0.08G
204,948701,2017-07-24,12,44.7,11.4,18.1,   59.4*,44.8, 0.00G
205,948701,2017-07-25,13,44.0,13.6,21.0,   62.6*,50.2, 0.04G
206,948701,2017-07-26,8,43.8,7.3,14.0,   57.4*,  41.2*, 0.08G
207,948701,2017-07-27,11,43.5,13.1,21.0,   58.5*,39.6, 0.24G
208,948701,2017-07-28,11,40.5,13.4,26.0,   57.0*,  47.5*, 0.00G
