,Date,Datetime,Surface Temperature (kelvin),Surface Temperature (Celcius),Power,Confidence,Latitude,Longitude
62,2017-11-30,2017-11-30T00:21:00,315.5,42,10.4,60,-37.637,146.28799999999998
63,2017-11-30,2017-11-30T00:20:53,331.6,58,29.7,83,-37.608000000000004,149.282
64,2017-11-30,2017-11-30T00:20:53,336.6,63,38.2,87,-37.62,149.29399999999998
65,2017-11-30,2017-11-30T00:20:53,349.6,76,69.6,95,-37.618,149.281
66,2017-11-30,2017-11-30T00:20:53,330.1,56,26.4,81,-37.61,149.296
67,2017-11-30,2017-11-30T00:20:53,324.3,51,18.6,73,-37.603,149.32399999999998
68,2017-11-30,2017-11-30T00:20:53,328.9,55,26.4,81,-37.602,149.311
69,2017-11-30,2017-11-30T00:20:53,323.9,50,17.6,69,-37.6,149.297
70,2017-11-30,2017-11-30T00:20:49,314.9,41,10.8,64,-37.382,149.341
71,2017-11-29,2017-11-29T13:17:24,311.7,38,16.1,53,-37.611,149.27700000000002
72,2017-11-29,2017-11-29T13:17:24,328.7,55,42.3,100,-37.608000000000004,149.292
73,2017-11-29,2017-11-29T13:17:24,316.9,43,22.7,68,-37.605,149.308
74,2017-11-29,2017-11-29T03:53:16,327.8,54,39.3,52,-34.282,142.121
75,2017-11-29,2017-11-29T03:52:10,360.7,87,100.7,100,-37.606,149.312
76,2017-11-29,2017-11-29T03:52:10,317.5,44,12.0,64,-37.605,149.326
77,2017-11-29,2017-11-29T03:52:10,353.9,80,77.7,97,-37.61,149.30700000000002
78,2017-11-29,2017-11-29T03:52:10,357.9,84,89.7,99,-37.609,149.32
79,2017-11-28,2017-11-28T00:33:14,315.5,42,17.4,50,-37.749,148.297
80,2017-11-23,2017-11-23T04:28:59,333.2,60,16.8,84,-37.946,144.342
81,2017-11-23,2017-11-23T04:28:59,346.5,73,40.1,93,-37.945,144.35399999999998
82,2017-11-23,2017-11-23T00:15:12,319.5,46,12.9,68,-38.141,143.183
83,2017-11-23,2017-11-23T00:14:47,333.2,60,19.9,63,-36.952,144.972
84,2017-11-23,2017-11-23T00:14:24,328.8,55,21.3,70,-34.965,142.031
85,2017-11-22,2017-11-22T03:46:00,332.4,59,86.6,84,-37.978,145.623
86,2017-11-22,2017-11-22T03:46:00,338.0,64,113.1,88,-37.976,145.649
87,2017-11-21,2017-11-21T00:27:21,332.5,59,19.5,85,-37.758,144.69299999999998
88,2017-11-14,2017-11-14T04:35:04,338.9,65,34.9,87,-37.861999999999995,144.175
89,2017-11-14,2017-11-14T00:21:26,318.7,45,11.0,64,-38.527,143.493
90,2017-11-14,2017-11-14T00:21:07,319.9,46,11.1,64,-37.332,143.375
91,2017-11-13,2017-11-13T03:52:15,334.2,61,104.4,87,-37.621,143.447
92,2017-11-13,2017-11-13T03:52:14,326.8,53,69.6,81,-37.614000000000004,143.451
93,2017-11-13,2017-11-13T03:52:08,315.3,42,16.5,64,-37.954,143.918
94,2017-11-13,2017-11-13T01:16:38,312.1,38,40.7,51,-38.167,143.841
95,2017-11-13,2017-11-13T01:16:37,314.2,41,49.0,62,-38.16,143.803
96,2017-11-12,2017-11-12T04:47:32,326.9,53,26.7,63,-36.942,143.282
97,2017-11-12,2017-11-12T04:47:16,314.5,41,11.5,58,-37.864000000000004,144.174
98,2017-11-12,2017-11-12T04:46:53,321.4,48,42.2,56,-38.912,146.27200000000002
99,2017-11-12,2017-11-12T00:33:15,327.5,54,14.5,67,-36.942,143.292
100,2017-11-12,2017-11-12T00:33:15,342.2,69,36.8,89,-36.94,143.281
101,2017-11-11,2017-11-11T15:08:00,302.7,29,18.8,51,-36.943000000000005,143.286
102,2017-11-11,2017-11-11T13:30:08,310.5,37,11.6,80,-36.941,143.268
103,2017-11-11,2017-11-11T13:30:08,332.4,59,36.7,100,-36.939,143.28
104,2017-11-11,2017-11-11T04:04:25,333.8,60,46.5,86,-37.863,144.17
105,2017-11-09,2017-11-09T04:16:56,325.9,52,12.6,68,-36.759,145.179
106,2017-11-09,2017-11-09T04:16:56,324.3,51,11.0,62,-36.758,145.19
